Player,Age,Team,Position,Games_Played,Games_Started,Interceptions,Times_Targeted,Completions_When_Targeted,Completion_Percentage,Yards_Allowed,Yards_Per_Reception,Yards_Per_Target,Recieving_TD_Allowed,Passing_Rating_Allowed,Average_Depth_Of_Target,Total_Air_Yards,Total_YAC,Times_Blitzed,QB_Hurries,QB_Hits,Passes_Batted,Sacks,Pressures,Combined_Tackles,Missed_Tackles,Missed_Tackle_Percentage,Awards,season
Ahkello Witherspoon,24,SFO,RCB,10,8,1,53,30,56.6,376,12.5,7.1,6,108.7,10.9,215,161,3,0,0,0,0.0,0,28,7,20.0,,2019
Deone Bucannon,27,2TM,LB,14,1,0,12,8,66.7,86,10.8,7.2,0,87.5,2.9,46,40,15,1,1,0,0.0,2,28,3,9.7,,2019
Deone Bucannon,27,TAM,LB,5,0,0,1,1,100.0,15,15.0,15.0,0,118.7,5.0,5,10,1,1,0,0,0.0,1,3,0,0.0,,2019
Deone Bucannon,27,NYG,LB,9,1,0,11,7,63.6,71,10.1,6.5,0,82.0,2.7,41,30,14,0,1,0,0.0,1,25,3,10.7,,2019
Vinny Curry,31,PHI,DE,16,2,0,2,2,100.0,13,6.5,6.5,0,93.7,5.0,10,3,0,7,6,0,5.0,18,27,1,3.6,,2019
Folorunso Fatukasi,24,NYJ,DT,14,0,0,1,1,100.0,7,7.0,7.0,0,95.8,6.0,6,1,0,2,2,1,1.0,5,27,1,3.6,,2019
Najee Goode,30,JAX,LB,10,4,0,21,15,71.4,149,9.9,7.1,1,107.0,2.3,33,116,12,1,0,0,1.0,2,27,6,18.2,,2019
Rasheem Green,22,SEA,RDE,16,8,0,0,0,,0,,,0,,,0,0,0,10,1,2,4.0,15,27,3,10.0,,2019
Reshad Jones,31,MIA,DB,4,4,0,12,10,83.3,130,13.0,10.8,2,151.4,6.3,71,59,8,1,0,0,0.0,1,27,2,6.9,,2019
Brandon Mebane,34,LAC,RDT,13,13,0,0,0,,0,,,0,,,0,0,0,3,1,0,1.0,5,27,5,15.6,,2019
Bilal Nichols,23,CHI,DT,13,12,0,1,1,100.0,2,2.0,2.0,0,79.2,-3.0,-3,5,0,2,2,1,0.0,4,27,2,6.9,,2019
Jason Pierre-Paul,30,TAM,LOLB,10,8,0,4,4,100.0,38,9.5,9.5,0,106.2,3.3,13,25,23,9,6,3,8.5,24,27,8,22.9,,2019
Jarran Reed,27,SEA,LDT,10,10,0,1,0,0.0,0,,0.0,0,39.6,9.0,0,0,0,5,5,1,2.0,13,27,5,15.6,,2019
Malik Reed,23,DEN,LOLB,15,8,0,6,4,66.7,32,8.0,5.3,0,79.9,3.2,-6,38,38,6,3,0,2.0,9,27,2,6.9,,2019
Craig Robertson,31,NOR,LB,15,1,1,14,13,92.9,97,7.5,6.9,1,89.6,3.7,40,57,14,0,1,0,1.0,2,27,6,18.2,,2019
Damion Square,30,LAC,DE,16,4,0,4,3,75.0,28,9.3,7.0,0,93.7,-4.8,-13,41,0,2,1,1,0.0,3,27,4,12.9,,2019
Josh Tupou,25,CIN,DT,16,7,0,0,0,,0,,,0,,,0,0,0,4,0,0,0.0,4,27,1,3.6,,2019
Troy Apke,24,WAS,DB,15,2,1,6,4,66.7,50,12.5,8.3,0,52.8,6.0,30,20,0,0,0,0,0.0,0,26,3,10.3,,2019
Allen Bailey,30,ATL,RDE,15,5,0,1,0,0.0,0,,0.0,0,39.6,-5.0,0,0,0,1,1,0,1.0,3,26,8,23.5,,2019
Corey Ballentine,23,NYG,DB,13,2,0,42,27,64.3,393,14.6,9.4,4,126.4,11.6,247,146,7,0,1,0,0.0,1,26,1,3.7,,2019
Sam Beal,23,NYG,DB,6,3,0,21,16,76.2,171,10.7,8.1,1,115.4,9.1,128,43,0,0,0,0,0.0,0,26,0,0.0,,2019
Adam Butler,25,NWE,DT,16,2,0,1,0,0.0,0,,0.0,0,39.6,1.0,0,0,0,0,1,5,6.0,9,26,1,3.7,,2019
P.J. Hall,24,OAK,LDT,16,12,0,0,0,,0,,,0,,,0,0,0,3,1,0,1.5,6,26,5,16.1,,2019
Quinton Jefferson,26,SEA,LOLB,14,12,0,0,0,,0,,,0,,,0,0,0,5,7,3,3.5,16,26,5,16.1,,2019
Tye Smith,26,TEN,DB,9,3,0,22,15,68.2,160,10.7,7.3,1,104.4,9.9,105,55,0,0,0,0,0.0,0,26,0,0.0,,2019
Marvell Tell III,23,IND,DB,13,1,0,35,20,57.1,244,12.2,7.0,2,97.8,9.9,172,72,1,0,0,0,0.0,0,26,0,0.0,,2019
Chad Thomas,24,CLE,LDE,16,8,0,5,4,80.0,20,5.0,4.0,0,83.3,-0.2,-5,25,9,5,0,0,4.0,9,26,4,13.3,,2019
Olivier Vernon,29,CLE,RDE,10,10,0,2,1,50.0,-1,-1.0,-0.5,0,56.2,-0.5,-1,0,21,8,5,0,3.5,17,26,8,23.5,,2019
Chase Winovich,24,NWE,LB,16,0,0,2,2,100.0,17,8.5,8.5,0,102.1,-2.0,-4,21,6,9,3,0,5.5,19,26,2,7.1,,2019
Deatrich Wise Jr.,25,NWE,DE,14,3,0,0,0,,0,,,0,,,0,0,0,7,5,0,2.0,14,26,2,7.1,,2019
Henry Anderson,28,NYJ,LDE,13,13,0,3,3,100.0,19,6.3,6.3,0,93.1,4.7,14,5,0,6,7,0,1.0,14,25,2,7.4,,2019
Blessuan Austin,23,NYJ,RCB,7,6,0,37,23,62.2,265,11.5,7.2,1,92.7,8.5,173,92,0,0,0,0,0.0,0,25,6,19.4,,2019
Brian Burns,21,CAR,ROLB,16,5,0,1,1,100.0,4,4.0,4.0,0,83.3,-6.0,-6,10,12,8,7,0,7.5,23,25,3,10.7,,2019
Brandon Dunn,27,HOU,LDE,16,6,0,0,0,,0,,,0,,,0,0,0,1,2,0,1.0,4,25,3,10.7,,2019
Lano Hill,24,SEA,DB,12,4,0,6,3,50.0,76,25.3,12.7,0,95.8,19.2,61,15,2,1,0,0,0.0,1,25,5,16.7,,2019
Trumaine Johnson,29,NYJ,LCB,7,5,1,27,20,74.1,219,11.0,8.1,1,94.5,10.4,152,67,2,0,0,0,0.0,0,25,0,0.0,,2019
Ryan Kerrigan,31,WAS,ROLB,12,12,0,8,8,100.0,49,6.1,6.1,0,92.2,2.5,20,29,35,11,6,1,5.5,25,25,2,7.4,,2019
Trey Marshall,23,DEN,DB,16,2,0,11,8,72.7,150,18.8,13.6,0,114.8,18.7,129,21,0,0,0,0,0.0,0,25,1,3.8,,2019
Bobby McCain,26,MIA,FS,9,8,2,18,12,66.7,157,13.1,8.7,3,94.0,13.3,121,36,13,1,0,0,0.0,1,25,10,28.6,,2019
Tarvarius Moore,23,SFO,DB,16,3,0,5,1,20.0,7,7.0,1.4,0,39.6,12.8,-1,8,1,0,0,0,0.0,0,25,5,16.7,,2019
Avery Moss,25,MIA,LDE,11,8,0,1,1,100.0,1,1.0,1.0,0,79.2,-2.0,-2,3,10,0,0,0,0.0,0,25,4,13.8,,2019
Jabaal Sheard,30,IND,RDE,13,12,0,5,4,80.0,21,5.3,4.2,0,84.2,4.6,7,14,0,11,4,0,4.5,20,25,7,21.9,,2019
Blidi Wreh-Wilson,30,ATL,DB,14,2,0,33,15,45.5,226,15.1,6.8,1,78.6,11.3,151,75,0,0,0,0,0.0,0,25,4,13.8,,2019
Oshane Ximines,23,NYG,DE,16,2,0,2,1,50.0,14,14.0,7.0,1,112.5,0.5,-3,17,28,2,3,1,4.5,12,25,0,0.0,,2019
Tyus Bowser,24,BAL,LB,16,0,0,5,2,40.0,8,4.0,1.6,0,47.9,0.8,-1,9,84,4,5,1,5.0,14,24,1,4.0,,2019
Terrence Brooks,27,NWE,DB,15,0,1,18,11,61.1,112,10.2,6.2,0,55.8,5.6,75,37,13,0,3,0,0.0,3,24,1,4.0,,2019
Jack Crawford,31,ATL,DE,16,4,0,5,3,60.0,15,5.0,3.0,0,64.6,4.0,14,1,0,5,3,1,0.5,9,24,1,4.0,,2019
Nate Hairston,25,NYJ,LCB,11,6,1,34,24,70.6,390,16.3,11.5,3,125.9,10.3,202,188,4,0,1,0,0.0,1,24,8,25.0,,2019
Nevin Lawson,28,OAK,DB,11,5,0,26,14,53.8,198,14.1,7.6,2,104.3,11.3,133,65,5,0,0,0,0.0,0,24,2,7.7,,2019
Ryan Lewis,25,MIA,DB,8,3,1,36,21,58.3,344,16.4,9.6,1,88.2,15.9,272,72,0,0,0,0,0.0,0,24,1,4.0,,2019
Eric Murray,25,CLE,DB,9,4,0,20,13,65.0,119,9.2,6.0,0,81.0,9.4,76,43,16,0,0,0,1.0,1,24,8,25.0,,2019
Efe Obada,27,CAR,DE,16,0,0,0,0,,0,,,0,,,0,0,0,3,3,1,0.0,6,24,1,4.0,,2019
Mike Pennel,28,KAN,DT,8,0,0,0,0,,0,,,0,,,0,0,1,2,1,0,1.0,4,24,1,4.0,,2019
J.J. Watt,30,HOU,LDE,8,8,0,0,0,,0,,,0,,,0,0,1,7,12,3,4.0,24,24,3,11.1,,2019
Stephen Weatherly,25,MIN,LB,16,1,0,1,1,100.0,23,23.0,23.0,0,118.7,10.0,10,13,0,5,6,0,3.0,15,24,1,4.0,,2019
Brandon Wilson,25,CIN,RB,12,2,0,10,5,50.0,100,20.0,10.0,0,85.4,13.0,70,30,4,0,0,0,0.0,0,24,3,11.1,,2019
Cody Barton,23,SEA,LB,16,2,0,9,7,77.8,85,12.1,9.4,0,106.0,0.9,6,79,8,1,1,1,0.0,2,23,2,8.0,,2019
Kentrell Brothers,26,MIN,LB,13,1,0,13,11,84.6,82,7.5,6.3,0,92.9,4.9,35,47,2,0,0,0,0.0,0,23,0,0.0,,2019
Kyler Fackrell,28,GNB,LB,16,0,0,10,8,80.0,42,5.3,4.2,0,84.2,2.5,8,34,17,3,7,0,1.0,12,23,3,11.5,,2019
Kamu Grugier-Hill,25,PHI,LLB,10,6,0,14,12,85.7,83,6.9,5.9,0,91.4,1.7,11,72,18,1,0,0,0.0,1,23,3,11.5,,2019
Charles Harris,24,MIA,LB,14,5,0,1,1,100.0,5,5.0,5.0,0,87.5,-3.0,-3,8,1,1,5,0,0.5,7,23,3,11.5,,2019
Jerry Hughes,31,BUF,RDE,16,16,0,0,0,,0,,,0,,,0,0,1,8,4,2,4.5,17,23,6,20.7,,2019
Austin Johnson,25,TEN,NT,16,1,0,1,1,100.0,1,1.0,1.0,0,79.2,-5.0,-5,6,0,3,1,1,0.0,4,23,4,14.8,,2019
D.J. Jones,24,SFO,LDT,11,11,0,1,1,100.0,4,4.0,4.0,0,83.3,-2.0,-2,6,0,2,0,0,2.0,4,23,2,8.0,,2019
Sidney Jones,23,PHI,DB,12,4,2,31,16,51.6,189,11.8,6.1,2,65.1,11.0,98,91,1,0,0,1,0.0,0,23,2,8.0,,2019
Carl Lawson,24,CIN,LB,12,2,0,9,7,77.8,95,13.6,10.6,0,110.6,3.4,30,65,9,4,14,0,5.0,23,23,4,14.8,,2019
Ifeadi Odenigbo,25,MIN,DE,16,0,0,0,0,,0,,,0,,,0,0,0,4,7,0,7.0,19,23,1,4.2,,2019
Carlos Watkins,26,HOU,DT,10,1,0,2,2,100.0,18,9.0,9.0,0,104.2,-3.5,-7,25,0,2,1,1,1.0,4,23,3,11.5,,2019
Antwaun Woods,26,DAL,RDT,10,10,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,23,3,11.5,,2019
Jamar Taylor,29,2TM,DB,12,0,0,41,25,61.0,275,11.0,6.7,1,89.0,9.8,157,118,14,0,0,0,0.0,0,23,2,8.0,,2019
Jamar Taylor,29,SEA,DB,9,0,0,40,25,62.5,275,11.0,6.9,1,91.1,9.4,157,118,14,0,0,0,0.0,0,22,2,8.3,,2019
Jamar Taylor,29,ATL,DB,3,0,0,1,0,0.0,0,,0.0,0,39.6,24.0,0,0,0,0,0,0,0.0,0,1,0,0.0,,2019
Kris Boyd,23,MIN,DB,16,0,0,13,9,69.2,93,10.3,7.2,0,89.6,8.1,55,38,0,0,0,0,0.0,0,22,2,8.3,,2019
Jonathan Bullard,26,ARI,LDE,9,6,0,1,1,100.0,23,23.0,23.0,0,118.7,5.0,5,18,0,2,5,0,1.5,9,22,6,21.4,,2019
Adrian Colbert,26,MIA,FS,6,5,0,6,2,33.3,11,5.5,1.8,1,81.9,30.7,9,2,1,1,0,0,0.0,1,22,5,18.5,,2019
Reggie Gilbert,26,TEN,LOLB,11,5,0,6,5,83.3,73,14.6,12.2,1,156.9,2.2,16,57,15,1,2,1,1.0,4,22,1,4.3,,2019
Duron Harmon,28,NWE,DB,16,8,2,15,8,53.3,118,14.8,7.9,0,39.7,13.8,104,14,20,0,2,0,0.0,2,22,2,8.3,,2019
Trent Harris,24,MIA,DT,11,3,0,2,2,100.0,17,8.5,8.5,0,102.1,6.0,12,5,16,2,1,0,1.5,5,22,3,12.0,,2019
Travin Howard,23,LAR,LB,16,0,0,15,9,60.0,106,11.8,7.1,0,81.5,7.7,59,47,1,0,0,0,0.0,0,22,0,0.0,,2019
Chris Jones,24,ARI,DB,11,3,0,25,14,56.0,212,15.1,8.5,0,84.1,16.7,138,74,4,0,0,1,0.0,0,22,3,12.0,,2019
Tony McRae,26,CIN,DB,16,2,0,19,14,73.7,224,16.0,11.8,1,130.2,9.9,120,104,7,0,1,0,0.0,1,22,1,4.3,,2019
Alex Okafor,28,KAN,LDE,10,9,0,2,1,50.0,5,5.0,2.5,0,56.2,3.5,5,0,0,1,4,2,5.0,10,22,2,8.3,,2019
Kevin Peterson,25,ARI,DB,14,3,0,23,17,73.9,277,16.3,12.0,0,113.9,8.0,123,154,3,0,0,0,0.0,0,22,4,15.4,,2019
Dontari Poe,29,CAR,NT,11,10,0,1,0,0.0,0,,0.0,0,39.6,-2.0,0,0,0,1,2,0,4.0,7,22,2,8.3,,2019
Khalen Saunders,23,KAN,DT,12,4,0,0,0,,0,,,0,,,0,0,0,1,1,1,1.0,3,22,0,0.0,,2019
Stephon Tuitt,26,PIT,RDE,6,6,0,0,0,,0,,,0,,,0,0,0,4,2,0,3.5,10,22,3,12.0,,2019
DeMarcus Walker,25,DEN,DE,10,1,0,1,0,0.0,0,,0.0,0,39.6,-2.0,0,0,5,1,1,0,4.0,6,22,3,12.0,,2019
Walt Aikens,28,MIA,DB,15,0,0,10,10,100.0,134,13.4,13.4,1,152.1,6.5,65,69,5,0,0,0,0.0,0,21,0,0.0,,2019
Jeremiah Attaochu,26,DEN,LOLB,12,5,0,7,7,100.0,106,15.1,15.1,1,158.3,-0.9,-6,112,10,4,2,0,3.5,10,21,2,8.7,,2019
Ronald Blair,26,SFO,DE,9,0,0,0,0,,0,,,0,,,0,0,0,6,0,0,3.0,9,21,2,8.7,,2019
Taco Charlton,25,MIA,LDE,10,5,0,3,3,100.0,31,10.3,10.3,0,109.7,1.3,4,27,3,3,2,0,5.0,10,21,0,0.0,,2019
Bradley Chubb,23,DEN,LB,4,4,0,2,2,100.0,34,17.0,17.0,0,118.7,1.5,3,31,13,5,4,1,1.0,10,21,8,27.6,,2019
Jamel Dean,23,TAM,DB,13,5,2,52,26,50.0,317,12.2,6.1,3,72.4,10.4,198,119,0,0,0,0,0.0,0,21,2,8.7,,2019
Rashan Gary,22,GNB,DE,16,0,0,3,2,66.7,36,18.0,12.0,0,107.6,6.7,20,16,5,2,1,0,2.0,5,21,3,12.5,,2019
Justin Hollins,23,DEN,LB,15,0,0,10,8,80.0,48,6.0,4.8,1,120.0,2.0,25,23,22,3,1,1,1.0,4,21,2,8.7,,2019
Tony Jefferson,27,BAL,FS,5,5,0,14,8,57.1,247,30.9,17.6,2,141.4,13.6,103,144,14,1,0,0,0.0,1,21,4,16.0,,2019
Kameron Kelly,23,PIT,DB,14,1,1,10,10,100.0,141,14.1,14.1,2,118.7,9.7,97,44,1,0,0,0,0.0,0,21,4,16.0,,2019
Terrance Mitchell,27,CLE,DB,15,4,1,30,18,60.0,212,11.8,7.1,0,67.6,9.4,126,86,0,0,0,0,0.0,0,21,2,8.7,,2019
Shamar Stephen,28,MIN,RDT,15,15,0,1,0,0.0,0,,0.0,0,39.6,-1.0,0,0,0,1,0,2,1.0,2,21,1,4.5,,2019
Josh Sweat,22,PHI,DE,16,0,0,1,1,100.0,1,1.0,1.0,1,118.7,1.0,1,0,2,5,5,1,4.0,15,21,0,0.0,,2019
Sione Takitaki,24,CLE,LB,15,1,0,2,2,100.0,14,7.0,7.0,0,95.8,1.0,2,12,4,1,0,0,0.0,1,21,1,4.5,,2019
Solomon Thomas,24,SFO,DE,16,3,0,0,0,,0,,,0,,,0,0,0,2,4,0,2.0,8,21,1,4.5,,2019
John Atkins,27,DET,DT,12,6,0,0,0,,0,,,0,,,0,0,0,2,0,0,0.0,2,20,2,9.1,,2019
Angelo Blackson,27,HOU,RDE,15,15,0,1,1,100.0,3,3.0,3.0,1,118.7,-3.0,-3,6,0,1,1,0,0.0,2,20,0,0.0,,2019
Maliek Collins,24,DAL,LDT,16,16,0,1,1,100.0,10,10.0,10.0,0,108.3,-8.0,-8,18,0,12,5,0,4.0,21,20,3,13.0,,2019
Ryan Connelly,24,NYG,LB,4,3,2,7,4,57.1,19,4.8,2.7,0,22.6,5.0,17,2,9,1,0,0,1.0,2,20,0,0.0,,2019
Amani Hooker,21,TEN,DB,16,0,0,13,6,46.2,67,11.2,5.2,0,62.0,9.5,54,13,2,1,0,0,0.0,1,20,1,4.8,,2019
Branden Jackson,27,SEA,DE,15,3,0,3,1,33.3,12,12.0,4.0,0,46.5,0.7,6,6,0,4,1,1,2.0,7,20,2,9.1,,2019
Miles Killebrew,26,DET,DB,15,1,0,5,3,60.0,44,14.7,8.8,0,88.7,8.4,6,38,7,0,0,0,0.0,0,20,2,9.1,,2019
Steven Parker,24,MIA,DB,14,4,2,13,7,53.8,107,15.3,8.2,2,81.2,8.2,46,61,3,0,0,0,0.0,0,20,3,13.0,,2019
Anthony Chickillo,27,PIT,DE,11,0,0,1,0,0.0,0,,0.0,0,39.6,0.0,0,0,8,1,0,0,0.5,2,19,0,0.0,,2019
Duke Dawson,23,DEN,DB,14,3,0,20,15,75.0,124,8.3,6.2,0,90.4,4.5,61,63,8,1,0,0,0.0,1,19,3,13.6,,2019
Trey Hendrickson,25,NOR,LB,13,3,0,0,0,,0,,,0,,,0,0,1,8,4,1,4.5,18,19,1,5.0,,2019
Zach Kerr,29,ARI,DT,12,3,0,0,0,,0,,,0,,,0,0,0,2,2,1,0.0,4,19,1,5.0,,2019
Star Lotulelei,30,BUF,RDT,16,16,1,3,2,66.7,-3,-1.5,-1.0,0,30.6,-4.7,-6,3,0,1,1,0,2.0,4,19,3,13.6,,2019
Josh Mauro,28,OAK,RDE,13,7,0,3,1,33.3,1,1.0,0.3,0,42.4,0.0,-4,5,0,2,0,1,0.0,2,19,1,5.0,,2019
Pernell McPhee,31,BAL,LOLB,7,7,0,3,3,100.0,17,5.7,5.7,0,90.3,0.7,2,15,43,3,3,1,3.0,9,19,0,0.0,,2019
Amani Oruwariye,23,DET,DB,9,2,2,25,19,76.0,212,11.2,8.5,3,107.0,10.2,142,70,1,0,0,0,0.0,0,19,1,5.0,,2019
Tedric Thompson,24,SEA,FS,6,6,2,15,9,60.0,222,24.7,14.8,1,86.8,17.3,198,24,0,0,0,0,0.0,0,19,1,5.0,,2019
Ken Webster,23,MIA,LCB,8,5,0,27,14,51.9,219,15.6,8.1,1,91.4,16.3,188,31,0,0,0,0,0.0,0,19,1,5.0,,2019
Azeez Al-Shaair,22,SFO,LB,15,4,0,11,9,81.8,80,8.9,7.3,0,97.0,0.1,-2,82,4,0,0,0,0.0,0,18,7,28.0,,2019
Ezekiel Ansah,30,SEA,DE,11,1,0,2,0,0.0,0,,0.0,0,39.6,-0.5,0,0,0,3,4,2,2.5,10,18,4,18.2,,2019
Vontaze Burfict,29,OAK,MLB,4,4,0,13,9,69.2,87,9.7,6.7,1,113.3,6.7,44,43,8,0,0,0,0.0,0,18,5,21.7,,2019
Adrian Clayborn,31,ATL,DE,15,1,0,1,1,100.0,16,16.0,16.0,0,118.7,4.0,4,12,0,5,3,0,4.0,12,18,0,0.0,,2019
Morgan Fox,25,LAR,DB,16,3,0,0,0,,0,,,0,,,0,0,0,2,1,0,2.0,5,18,2,10.0,,2019
Maurice Hurst Jr.,24,OAK,DT,16,4,1,1,0,0.0,0,,0.0,0,0.0,-10.0,0,0,0,6,2,2,3.5,12,18,2,10.0,,2019
Peter Kalambayi,24,HOU,LB,16,0,0,3,3,100.0,44,14.7,14.7,0,118.7,11.0,33,11,2,0,0,0,0.0,0,18,2,10.0,,2019
Tyler Matakevich,27,PIT,LB,16,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,18,1,5.3,,2019
Deionte Thompson,22,ARI,DB,11,2,0,5,5,100.0,71,14.2,14.2,0,118.7,7.8,39,32,5,0,1,0,0.0,1,18,2,10.0,,2019
Desmond Trufant,29,ATL,RCB,9,9,4,38,25,65.8,442,17.7,11.6,4,100.9,13.1,299,143,0,0,0,0,0.0,0,18,4,18.2,,2019
Shy Tuttle,24,NOR,DT,16,1,1,1,1,100.0,1,1.0,1.0,0,39.6,-6.0,-6,7,0,2,1,3,2.0,6,18,1,5.3,,2019
Ugo Amadi,22,SEA,DB,16,0,0,11,9,81.8,76,8.4,6.9,0,95.5,1.1,15,61,5,0,0,0,0.0,0,17,0,0.0,,2019
Anthony Brown,26,DAL,DB,9,4,0,25,15,60.0,167,11.1,6.7,0,79.9,10.0,96,71,7,0,0,1,0.0,0,17,7,29.2,,2019
J.T. Gray,23,NOR,DB,16,0,0,0,0,,0,,,0,,,0,0,2,0,0,0,0.0,0,17,0,0.0,AP-2,2019
Antonio Hamilton,26,NYG,DB,16,2,0,18,12,66.7,156,13.0,8.7,0,93.7,11.3,105,51,2,1,0,0,0.0,1,17,3,15.0,,2019
Xavien Howard,26,MIA,LCB,5,5,1,26,17,65.4,237,13.9,9.1,3,117.0,11.0,133,104,1,0,0,0,0.0,0,17,3,15.0,,2019
Margus Hunt,32,IND,LDT,16,5,0,2,2,100.0,13,6.5,6.5,0,93.7,-2.0,-4,17,0,1,0,0,0.0,1,17,3,15.0,,2019
Kerry Hyder,28,DAL,DE,16,0,0,1,1,100.0,3,3.0,3.0,0,79.2,-4.0,-4,7,2,7,2,0,1.0,10,17,3,15.0,,2019
Akeem King,27,SEA,DB,13,3,0,18,10,55.6,152,15.2,8.4,1,102.1,12.9,98,54,6,0,1,0,0.0,1,17,0,0.0,,2019
Dawuane Smoot,24,JAX,DE,16,0,0,0,0,,0,,,0,,,0,0,0,2,1,0,6.0,9,17,0,0.0,,2019
Jerry Tillery,23,LAC,DT,15,3,0,0,0,,0,,,0,,,0,0,0,0,0,0,2.0,3,17,0,0.0,,2019
Armani Watts,23,KAN,DB,16,0,0,4,3,75.0,37,12.3,9.3,0,103.1,12.8,34,3,2,0,0,0,1.0,1,17,0,0.0,,2019
Dylan Cole,25,HOU,LB,11,0,0,9,3,33.3,43,14.3,4.8,0,49.8,4.1,18,25,1,0,0,0,0.0,0,16,1,5.9,,2019
Adam Gotsis,27,DEN,DE,9,3,0,0,0,,0,,,0,,,0,0,0,1,0,2,0.0,3,16,4,20.0,,2019
Harvey Langi,27,NYJ,DE,16,3,0,3,2,66.7,17,8.5,5.7,0,81.2,4.7,5,12,5,0,0,1,0.0,0,16,0,0.0,,2019
Patrick Robinson,32,NOR,DB,11,0,0,23,13,56.5,114,8.8,5.0,0,69.8,9.5,78,36,18,0,1,0,0.0,1,16,2,11.1,,2019
Cameron Sutton,24,PIT,DB,16,0,1,25,14,56.0,132,9.4,5.3,0,54.1,11.1,84,48,3,0,0,0,1.0,1,16,2,11.1,,2019
Brent Urban,28,CHI,DE,9,0,0,1,1,100.0,6,6.0,6.0,0,91.7,-3.0,-3,9,0,0,1,3,0.0,1,16,1,5.9,,2019
Dorance Armstrong Jr.,22,DAL,DE,15,0,0,0,0,,0,,,0,,,0,0,0,3,3,0,2.0,8,15,2,11.8,,2019
Anthony Averett,25,BAL,DB,9,3,0,36,21,58.3,269,12.8,7.5,1,91.1,13.6,220,49,1,0,0,0,0.0,0,15,3,16.7,,2019
Sheldon Day,25,SFO,DT,16,2,0,0,0,,0,,,0,,,0,0,0,1,1,0,1.0,3,15,1,6.3,,2019
Clayton Fejedelem,26,CIN,DB,16,0,0,9,6,66.7,91,15.2,10.1,0,99.8,19.8,63,28,3,1,0,0,0.0,1,15,0,0.0,,2019
Rashad Fenton,22,KAN,DB,12,0,1,17,8,47.1,87,10.9,5.1,1,57.7,15.3,65,22,7,0,1,0,0.0,1,15,0,0.0,,2019
Craig James,23,PHI,DB,14,1,0,9,5,55.6,49,9.8,5.4,1,108.1,11.7,27,22,2,0,0,0,0.0,0,15,1,6.3,,2019
Darryl Johnson,22,BUF,DE,16,0,0,0,0,,0,,,0,,,0,0,0,3,1,0,1.0,5,15,0,0.0,,2019
David Long,23,TEN,LB,14,0,0,7,5,71.4,48,9.6,6.9,0,90.2,5.9,11,37,3,1,0,0,0.0,1,15,3,16.7,,2019
Steve Longa,25,DET,LB,10,0,0,1,1,100.0,9,9.0,9.0,0,104.2,9.0,9,0,1,0,0,0,0.0,0,15,2,11.8,,2019
Benson Mayowa,28,OAK,DE,15,0,0,1,1,100.0,9,9.0,9.0,0,104.2,2.0,2,7,0,3,4,0,7.0,15,15,2,11.8,,2019
Rolan Milligan,25,IND,DB,11,1,0,15,11,73.3,114,10.4,7.6,1,117.1,9.3,75,39,12,0,1,0,0.0,1,15,1,6.3,,2019
Jeremy Reaves,23,WAS,DB,9,3,0,5,3,60.0,58,19.3,11.6,1,140.0,13.2,21,37,1,0,1,0,0.0,1,15,1,6.3,,2019
Andrew Van Ginkel,24,MIA,LB,6,1,0,3,3,100.0,14,4.7,4.7,0,86.1,0.7,2,12,24,0,3,0,1.0,4,15,2,11.8,,2019
Darious Williams,26,LAR,DB,12,3,2,21,15,71.4,197,13.1,9.4,1,77.0,10.2,125,72,1,0,0,0,0.0,0,15,1,6.3,,2019
Aaron Colvin,28,2TM,DB,7,3,0,23,20,87.0,289,14.5,12.6,3,158.3,11.0,235,54,0,0,0,0,0.0,0,15,2,11.8,,2019
Aaron Colvin,28,HOU,DB,1,1,0,8,7,87.5,106,15.1,13.3,1,158.3,10.6,85,21,0,0,0,0,0.0,0,5,1,16.7,,2019
Aaron Colvin,28,WAS,DB,6,2,0,15,13,86.7,183,14.1,12.2,2,157.1,11.1,150,33,0,0,0,0,0.0,0,10,1,9.1,,2019
Andrew Brown,24,CIN,DT,14,1,0,0,0,,0,,,0,,,0,0,0,2,1,0,0.0,3,14,3,17.6,,2019
Ibraheim Campbell,27,GNB,DB,7,3,0,19,12,63.2,107,8.9,5.6,0,78.2,4.2,44,63,7,0,0,0,0.0,0,14,3,17.6,,2019
Morris Claiborne,29,KAN,DB,8,1,0,7,4,57.1,41,10.3,5.9,0,74.1,12.6,23,18,0,0,0,0,0.0,0,14,0,0.0,,2019
Dee Ford,28,SFO,LB,11,2,0,0,0,,0,,,0,,,0,0,6,8,1,0,6.5,16,14,0,0.0,,2019
Isaiah Irving,25,CHI,LB,13,0,0,1,0,0.0,0,,0.0,0,39.6,5.0,0,0,5,0,1,0,0.0,1,14,1,6.7,,2019
Dre'Mont Jones,22,DEN,DT,14,1,1,1,1,100.0,11,11.0,11.0,0,72.9,-2.0,-2,13,0,1,1,1,3.5,7,14,0,0.0,,2019
Anthony Levine,32,BAL,DB,16,0,0,10,7,70.0,73,10.4,7.3,0,90.8,6.6,34,39,27,1,2,0,0.0,3,14,2,12.5,,2019
A.J. Moore,24,HOU,DB,16,0,0,0,0,,0,,,0,,,0,0,4,0,0,0,0.0,0,14,0,0.0,,2019
