Player,Age,Team,Position,Games_Played,Games_Started,Interceptions,Times_Targeted,Completions_When_Targeted,Completion_Percentage,Yards_Allowed,Yards_Per_Reception,Yards_Per_Target,Recieving_TD_Allowed,Passing_Rating_Allowed,Average_Depth_Of_Target,Total_Air_Yards,Total_YAC,Times_Blitzed,QB_Hurries,QB_Hits,Passes_Batted,Sacks,Pressures,Combined_Tackles,Missed_Tackles,Missed_Tackle_Percentage,Awards,season
Poona Ford,29,LAC,DT,17,17,1,2,1,50.0,-3,-3.0,-1.5,0,16.7,-5.5,-6,3,0,0,6,3,3.0,9,39,2,4.9,,2024
Dante Fowler,30,WAS,LB,17,7,1,6,3,50.0,25,8.3,4.2,0,21.5,-0.2,-2,27,20,7,2,0,10.5,20,39,5,11.4,,2024
Patrick Jones II,26,MIN,OLB,15,1,0,2,2,100.0,15,7.5,7.5,0,97.9,-0.5,-1,16,47,5,5,0,7.0,17,39,4,9.3,,2024
Khalil Mack,33,LAC,OLB,16,16,0,4,3,75.0,15,5.0,3.8,0,80.2,-0.8,6,9,6,7,8,8,6.0,22,39,5,11.4,PB,2024
Rodney McLeod,34,CLE,S,17,5,0,36,19,52.8,230,12.1,6.4,3,100.5,8.0,100,130,7,0,0,0,0.0,0,39,5,11.4,,2024
Odafe Oweh,26,BAL,OLB,17,10,0,5,5,100.0,56,11.2,11.2,0,113.3,2.4,12,44,7,5,12,0,10.0,28,39,3,7.1,,2024
Chau Smith-Wade,22,CAR,CB,14,4,1,20,14,70.0,92,6.6,4.6,1,75.4,4.6,37,55,6,1,0,0,0.0,1,39,2,4.9,,2024
Charles Snowden,26,LVR,DE,16,9,0,11,9,81.8,33,3.7,3.0,0,79.2,3.0,13,20,12,4,5,4,1.5,11,39,2,4.9,,2024
Arnold Ebiketie,25,ATL,OLB,17,2,0,6,5,83.3,22,4.4,3.7,0,81.9,1.2,10,12,22,12,6,2,6.0,24,38,3,7.3,,2024
Jonah Elliss,21,DEN,OLB,17,0,0,11,10,90.9,113,11.3,10.3,1,139.8,4.6,51,62,45,3,0,2,5.0,9,38,1,2.6,,2024
Talanoa Hufanga,25,SFO,S,7,7,0,13,12,92.3,162,13.5,12.5,0,118.6,7.2,82,80,2,0,0,0,0.0,0,38,5,11.6,,2024
Donte Jackson,29,PIT,CB,15,15,5,67,40,59.7,551,13.8,8.2,3,69.9,12.7,334,217,0,0,0,0,0.0,0,38,8,17.4,,2024
Jeremiah Ledbetter,30,JAX,DT,15,3,0,1,1,100.0,3,3.0,3.0,0,79.2,-1.0,-1,4,0,0,2,0,2.0,4,38,0,0.0,,2024
Will Anderson,23,HOU,DE,14,14,0,3,2,66.7,18,9.0,6.0,0,82.6,0.3,-6,24,1,9,8,2,11.0,29,37,4,9.8,AP DPoY-15,2024
Kenny Clark,29,GNB,DL,17,17,0,1,1,100.0,7,7.0,7.0,0,95.8,-4.0,-4,11,0,6,4,2,1.0,11,37,4,9.8,,2024
Derick Hall,23,SEA,OLB,17,14,0,2,1,50.0,1,1.0,0.5,0,56.2,0.5,1,0,20,8,13,0,8.0,29,37,2,5.1,,2024
Shelby Harris,33,CLE,DT,14,13,0,0,0,,0,,,0,,,0,0,0,4,3,1,1.5,9,37,1,2.6,,2024
Cam Hart,24,LAC,CB,14,6,0,58,35,60.3,281,8.0,4.8,3,89.8,8.6,190,91,1,0,1,0,0.5,2,37,4,9.8,,2024
Josh Jobe,26,SEA,CB,10,6,1,50,28,56.0,354,12.6,7.1,1,76.6,9.8,250,104,0,0,0,0,0.0,0,37,4,9.8,,2024
Chris Jones,30,KAN,DT,15,15,0,2,1,50.0,-6,-6.0,-3.0,0,56.2,-5.5,-5,-1,0,17,16,1,5.0,38,37,2,5.1,"PB,AP-1,AP DPoY-17",2024
Otito Ogbonnia,24,LAC,DT,17,17,0,0,0,,0,,,0,,,0,0,0,1,3,0,0.0,4,37,1,2.6,,2024
Nathan Shepherd,31,NOR,DT,16,13,0,0,0,,0,,,0,,,0,0,0,4,3,0,1.5,9,37,2,5.1,,2024
Dadrion Taylor-Demerson,23,ARI,S,17,2,0,20,14,70.0,171,12.2,8.6,0,96.0,7.6,99,72,6,0,0,0,0.0,0,37,3,7.5,,2024
Quinnen Williams,27,NYJ,DL,16,16,0,5,3,60.0,7,2.3,1.4,0,64.6,-1.6,-3,10,0,9,11,0,6.0,27,37,10,21.3,PB,2024
D.J. Wonnum,27,CAR,OLB,8,8,0,4,4,100.0,21,5.3,5.3,0,88.5,-0.5,-2,23,10,6,2,1,4.0,12,37,5,11.9,,2024
Keeanu Benton,23,PIT,DL,17,14,1,4,3,75.0,10,3.3,2.5,0,37.5,-3.3,-11,21,0,4,6,5,1.0,11,36,4,10.0,,2024
Jaylon Carlies,23,IND,LB,10,6,0,13,12,92.3,100,8.3,7.7,1,124.4,1.5,23,77,7,0,0,0,1.0,1,36,2,5.3,,2024
Isaiah McGuire,23,CLE,DE,16,3,0,2,0,0.0,0,,0.0,0,39.6,3.0,0,0,4,3,6,0,2.5,12,36,0,0.0,,2024
Byron Murphy,22,SEA,DT,14,9,0,2,2,100.0,22,11.0,11.0,0,112.5,-1.5,-3,25,0,4,0,0,0.5,5,36,0,0.0,,2024
Samuel Womack,25,IND,CB,17,8,2,55,33,60.0,502,15.2,9.1,6,111.3,10.8,358,144,1,0,0,0,0.0,0,36,5,12.2,,2024
Krys Barnes,26,ARI,LB,17,0,0,10,10,100.0,102,10.2,10.2,1,142.5,4.9,49,53,6,0,0,0,2.0,2,35,1,2.8,,2024
Ashtyn Davis,28,NYJ,S,15,1,2,20,14,70.0,138,9.9,6.9,1,66.2,5.9,55,83,5,1,0,0,0.0,1,35,3,7.9,,2024
Storm Duck,24,MIA,CB,14,3,0,36,22,61.1,248,11.3,6.9,2,100.2,8.7,176,72,0,0,0,0,0.0,0,35,4,10.3,,2024
Josh Hayes,25,TAM,DB,15,3,0,33,22,66.7,216,9.8,6.5,4,124.5,9.7,137,79,2,0,0,0,0.0,0,35,2,5.4,,2024
George Karlaftis III,23,KAN,DE,16,11,0,8,4,50.0,37,9.3,4.6,0,63.0,1.6,0,37,0,11,18,4,8.0,37,35,1,2.8,,2024
Jonah Laulu,24,LVR,DT,17,7,0,1,1,100.0,10,10.0,10.0,0,108.3,-5.0,-5,15,0,3,1,2,1.0,5,35,0,0.0,,2024
Sam Okuayinonu,26,SFO,DL,16,3,0,8,7,87.5,35,5.0,4.4,0,84.9,-2.6,-15,50,1,2,4,0,3.0,9,35,3,7.9,,2024
Clark Phillips,23,ATL,CB,16,2,1,43,32,74.4,308,9.6,7.2,3,107.5,8.1,185,123,0,0,0,0,0.0,0,35,6,14.6,,2024
Jack Sanborn,24,CHI,LB,17,3,0,9,8,88.9,128,16.0,14.2,0,118.7,10.9,90,38,15,1,1,1,1.5,4,35,3,7.9,,2024
Shaq Thompson,30,CAR,LB,4,4,0,10,9,90.0,47,5.2,4.7,0,86.2,1.1,9,38,9,1,1,0,0.0,2,35,8,18.6,,2024
Za'Darius Smith,32,2TM,DE,17,16,0,3,3,100.0,25,8.3,8.3,0,101.4,-3.0,-9,34,2,8,7,0,9.0,25,35,4,10.3,,2024
Za'Darius Smith,32,CLE,DE,9,9,0,2,2,100.0,12,6.0,6.0,0,91.7,-2.5,-5,17,0,3,2,0,5.0,10,23,1,4.2,,2024
Za'Darius Smith,32,DET,DL,8,7,0,1,1,100.0,13,13.0,13.0,0,118.7,-4.0,-4,17,2,5,5,0,4.0,15,12,3,20.0,,2024
Micheal Clemons,27,NYJ,DL,17,17,0,1,1,100.0,9,9.0,9.0,0,104.2,-2.0,-2,11,0,5,4,0,4.5,14,34,4,10.5,,2024
Cameron Jordan,35,NOR,DE,17,17,1,2,2,100.0,2,1.0,1.0,0,39.6,-2.0,-4,6,0,4,4,3,4.0,12,34,0,0.0,,2024
Dell Pettus,23,NWE,S,17,1,0,14,9,64.3,87,9.7,6.2,0,81.5,7.9,48,39,5,0,0,0,1.0,1,34,0,0.0,,2024
Christian Roland-Wallace,23,KAN,CB,17,2,1,18,15,83.3,153,10.2,8.5,2,116.0,6.7,91,62,14,1,2,0,0.0,3,34,0,0.0,,2024
Marshon Lattimore,28,2TM,CB,9,9,0,32,17,53.1,182,10.7,5.7,1,80.5,10.2,91,91,3,1,0,0,0.0,1,34,0,0.0,,2024
Marshon Lattimore,28,NOR,CB,7,7,0,22,12,54.5,114,9.5,5.2,0,69.1,9.0,31,83,3,1,0,0,0.0,1,30,0,0.0,,2024
Marshon Lattimore,28,WAS,CB,2,2,0,10,5,50.0,68,13.6,6.8,1,105.4,12.6,60,8,0,0,0,0,0.0,0,4,0,0.0,,2024
Maliek Collins,29,SFO,DL,17,17,0,2,2,100.0,16,8.0,8.0,0,100.0,-0.5,-1,17,0,7,7,0,5.0,20,33,3,8.3,,2024
Devon Key,27,DEN,DB,17,2,0,11,5,45.5,95,19.0,8.6,2,115.5,13.5,45,50,2,0,0,0,1.0,1,33,1,2.9,,2024
Tristin McCollum,25,PHI,S,14,2,0,16,9,56.3,88,9.8,5.5,1,92.7,9.4,44,44,0,0,0,0,0.0,0,33,4,10.8,,2024
Jeremiah Pharms,28,NWE,DT,16,5,0,0,0,,0,,,0,,,0,0,0,4,3,0,2.0,9,33,1,2.9,,2024
