Player,Position,Team,Total Value,Average Per Year,Total Guaranteed
Ruke Orhorhoro,IDL,Falcons,"$9,916,126","$2,479,032","$8,735,167"
Jer'Zhan Newton,IDL,Commanders,"$9,757,990","$2,439,498","$8,432,355"
Ja'Lynn Polk,WR,Patriots,"$9,694,744","$2,423,686","$8,214,275"
Dalton Risner,LG,Vikings,"$2,410,000","$2,410,000","$1,100,000"
Joey Porter Jr.,CB,Steelers,"$9,618,348","$2,404,587","$8,999,870"
Tyler Boyd,WR,Titans,"$2,400,000","$2,400,000","$1,200,000"
Nick Harris,C,Browns,"$2,395,000","$2,395,000",$0
T'Vondre Sweat,IDL,Titans,"$9,552,440","$2,388,110","$7,926,795"
Will Levis,QB,Titans,"$9,542,162","$2,385,541","$8,730,957"
Sam LaPorta,TE,Lions,"$9,465,998","$2,366,500","$7,825,179"
Braden Fiske,IDL,Rams,"$9,410,122","$2,352,531","$7,643,653"
Evan Brown,C,Cardinals,"$2,350,000","$2,350,000","$1,100,000"
Logan Hall,IDL,Buccaneers,"$9,316,454","$2,329,114","$7,566,029"
Michael Mayer,TE,Raiders,"$9,313,638","$2,328,410","$7,596,697"
Cooper DeJean,CB,Eagles,"$9,283,622","$2,320,906","$5,831,021"
Steve Avila,LG,Rams,"$9,252,708","$2,313,177","$7,442,147"
Christian Watson,WR,Packers,"$9,241,026","$2,310,257","$7,425,885"
Denzel Perryman,LB,Chargers,"$2,300,000","$2,300,000","$1,875,000"
Reggie Gilliam,FB,Bills,"$4,600,000","$2,300,000","$1,895,000"
Neville Hewitt,LB,Texans,"$2,300,000","$2,300,000","$1,950,000"
Roger McCreary,CB,Titans,"$9,165,614","$2,291,404","$7,245,757"
Kool-Aid McKinstry,CB,Saints,"$9,157,108","$2,289,277","$7,282,112"
Derick Hall,EDGE,Seahawks,"$9,115,604","$2,278,901","$7,222,566"
Nick Chubb,RB,Browns,"$2,275,000","$2,275,000","$2,050,000"
Kamari Lassiter,CB,Texans,"$9,014,800","$2,253,698","$7,090,508"
Breece Hall,RB,Jets,"$9,014,768","$2,253,692","$7,080,482"
Zay Jones,WR,Cardinals,"$2,250,000","$2,250,000","$1,150,000"
Joshua Dobbs,QB,49ers,"$2,250,000","$2,250,000","$2,250,000"
Royce Newman,LG,Buccaneers,"$2,250,000","$2,250,000",$0
Zach Pascal,WR,Cardinals,"$4,500,000","$2,250,000","$1,500,000"
Jonathan Bullard,IDL,Vikings,"$2,250,000","$2,250,000","$750,000"
Matthew Bergeron,LG,Falcons,"$8,978,482","$2,244,621","$7,014,143"
Jalen Pitre,S,Texans,"$8,954,436","$2,238,609","$7,028,376"
Elijah Moore,WR,Browns,"$8,940,422","$2,235,106","$7,061,273"
Max Melton,CB,Cardinals,"$8,888,308","$2,222,077","$6,931,266"
Javonte Williams,RB,Broncos,"$8,865,754","$2,216,439","$6,718,251"
Jonathan Mingo,WR,Cowboys,"$8,856,606","$2,214,152","$6,898,887"
Arnold Ebiketie,EDGE,Falcons,"$8,818,692","$2,204,673","$6,911,142"
Marco Wilson,CB,Bengals,"$2,200,000","$2,200,000","$600,000"
Jackson Powers-Johnson,RG,Raiders,"$8,767,762","$2,191,941","$6,777,157"
Isaiah Foskey,EDGE,Saints,"$8,734,722","$2,183,681","$6,731,557"
Jevon Holland,S,Dolphins,"$8,716,404","$2,179,101","$6,257,796"
Kyler Gordon,CB,Bears,"$8,682,930","$2,170,733","$6,495,022"
Braxton Berrios,WR,Dolphins,"$2,150,000","$2,150,000","$1,200,000"
Edgerrin Cooper,LB,Packers,"$8,598,920","$2,149,730","$6,568,275"
B.J. Ojulari,EDGE,Cardinals,"$8,597,614","$2,149,404","$6,532,849"
Boye Mafe,EDGE,Seahawks,"$8,562,260","$2,140,565","$6,319,290"
Luke Musgrave,TE,Packers,"$8,475,742","$2,118,936","$6,348,437"
Kenneth Walker III,RB,Seahawks,"$8,441,580","$2,110,395","$6,144,040"
Jonathon Brooks,RB,Panthers,"$8,417,082","$2,104,271","$6,240,268"
Amen Ogbongbemiga,LB,Bears,"$2,100,000","$2,100,000","$1,000,000"
Jake Bailey,P,Dolphins,"$4,200,000","$2,100,000","$2,225,000"
Corey Ballentine,CB,Packers,"$2,100,000","$2,100,000","$500,000"
Braden Mann,P,Eagles,"$4,200,000","$2,100,000","$2,775,000"
Brevin Jordan,TE,Texans,"$2,100,000","$2,100,000","$850,000"
Teven Jenkins,LG,Bears,"$8,387,848","$2,096,962","$5,261,518"
Joe Tippmann,C,Jets,"$8,359,604","$2,089,901","$6,167,665"
Richie Grant,S,Falcons,"$8,268,374","$2,067,094","$5,069,199"
Johnathan Hankins,IDL,Seahawks,"$2,050,000","$2,050,000","$300,000"
Eddy Pineiro,K,Panthers,"$4,100,000","$2,050,000","$2,250,000"
Julius Brents,CB,Colts,"$8,196,936","$2,049,234","$5,975,996"
Wan'Dale Robinson,WR,Giants,"$8,185,166","$2,046,292","$5,791,409"
Tyler Nubin,S,Giants,"$8,176,718","$2,044,180","$5,935,968"
Levi Onwuzurike,IDL,Lions,"$8,148,892","$2,037,223","$4,976,872"
Brandon Allen,QB,49ers,"$2,020,000","$2,020,000","$700,000"
John Metchie III,WR,Texans,"$8,070,176","$2,017,544","$5,626,046"
Brian Branch,S,Lions,"$8,021,742","$2,005,436","$5,623,617"
Maason Smith,IDL,Jaguars,"$8,018,600","$2,004,650","$5,703,444"
Liam Eichenberg,C,Dolphins,"$8,014,482","$2,003,621","$4,873,007"
Alexander Mattison,RB,Raiders,"$2,000,000","$2,000,000","$1,650,000"
Derek Barnett,EDGE,Texans,"$2,000,000","$2,000,000","$1,000,000"
Taven Bryan,IDL,Colts,"$2,000,000","$2,000,000","$1,125,000"
Jamie Gillan,P,Giants,"$4,000,000","$2,000,000","$1,000,000"
Travis Homer,RB,Bears,"$4,000,000","$2,000,000","$1,750,000"
Andrus Peat,LT,Raiders,"$2,000,000","$2,000,000","$450,000"
Corey Bojorquez,P,Browns,"$4,000,000","$2,000,000","$2,750,000"
Arthur Maulet,CB,Ravens,"$4,000,000","$2,000,000","$500,000"
J.K. Scott,P,Chargers,"$4,000,000","$2,000,000","$820,000"
Kevin Givens,IDL,49ers,"$2,000,000","$2,000,000","$2,000,000"
Avonte Maddox,CB,Eagles,"$2,000,000","$2,000,000","$875,000"
Nick Westbrook-Ikhine,WR,Titans,"$2,000,000","$2,000,000","$750,000"
Derrick Nnadi,IDL,Chiefs,"$2,000,000","$2,000,000","$1,790,000"
Daniel Thomas,S,Jaguars,"$4,000,000","$2,000,000","$2,000,000"
Calais Campbell,IDL,Dolphins,"$2,000,000","$2,000,000","$790,000"
Brandon Powell,WR,Vikings,"$2,000,000","$2,000,000","$625,000"
Daniel Ekuale,IDL,Patriots,"$4,000,000","$2,000,000","$1,000,000"
Jordan Poyer,S,Dolphins,"$2,000,000","$2,000,000","$1,000,000"
Marcedes Lewis,TE,Bears,"$2,000,000","$2,000,000","$1,000,000"
Greg Van Roten,RG,Giants,"$2,000,000","$2,000,000","$920,000"
Chuck Clark,S,Jets,"$2,000,000","$2,000,000","$1,830,000"
Johnny Mundt,TE,Vikings,"$2,000,000","$2,000,000","$750,000"
Olisaemeka Udoh,LT,Saints,"$2,000,000","$2,000,000","$2,000,000"
Sam Martin,P,Bills,"$6,000,000","$2,000,000","$2,365,000"
Robert Jones,RG,Dolphins,"$2,000,000","$2,000,000","$1,200,000"
David Ojabo,EDGE,Ravens,"$7,909,124","$1,977,281","$5,401,594"
Trevon Moehrig,S,Raiders,"$7,895,012","$1,973,753","$4,780,692"
Kris Jenkins Jr.,IDL,Bengals,"$7,860,464","$1,965,116","$5,480,322"
Jordan Akins,TE,Browns,"$3,900,000","$1,950,000","$1,730,000"
Siran Neal,CB,Dolphins,"$1,950,000","$1,950,000","$650,000"
Keion White,EDGE,Patriots,"$7,790,170","$1,947,543","$5,321,683"
Demetrius Flannigan-Fowles,S,49ers,"$1,935,000","$1,935,000","$1,935,000"
Josh Paschal,EDGE,Lions,"$7,735,658","$1,933,915","$4,842,553"
Mike Sainristil,CB,Commanders,"$7,702,336","$1,925,584","$5,258,934"
Quan Martin,S,Commanders,"$7,637,824","$1,909,456","$5,111,995"
Jonathan Owens,S,Bears,"$3,800,000","$1,900,000","$1,000,000"
Nick Mullens,QB,Vikings,"$1,900,000","$1,900,000",$0
Zach Frazier,C,Steelers,"$7,544,214","$1,886,054","$5,039,272"
Isaiah Wynn,RT,Dolphins,"$1,885,000","$1,885,000","$1,000,000"
Phidarian Mathis,IDL,Jets,"$7,506,378","$1,876,595","$4,501,374"
Cody Mauch,RT,Buccaneers,"$7,485,470","$1,871,368","$4,613,240"
Blake Gillikin,K,Cardinals,"$3,700,000","$1,850,000","$1,200,000"
Jeremiah Ledbetter,IDL,Jaguars,"$1,850,000","$1,850,000","$1,000,000"
Ameer Abdullah,RB,Raiders,"$1,850,000","$1,850,000","$850,000"
Adonai Mitchell,WR,Colts,"$7,386,086","$1,846,522","$4,817,431"
Jaquan Brisker,S,Bears,"$7,355,542","$1,838,886","$4,273,827"
Keeanu Benton,IDL,Steelers,"$7,333,124","$1,833,281","$4,279,836"
Ben Sinnott,TE,Commanders,"$7,227,950","$1,806,988","$4,597,851"
Asante Samuel Jr.,CB,Chargers,"$7,222,948","$1,805,737","$4,261,368"
Alontae Taylor,CB,Saints,"$7,204,696","$1,801,174","$4,157,266"
Michael Deiter,LG,Commanders,"$1,800,000","$1,800,000","$320,000"
Adam Butler,IDL,Raiders,"$1,800,000","$1,800,000","$1,100,000"
Dan Feeney,LG,Vikings,"$1,800,000","$1,800,000","$1,375,000"
David Quessenberry,RT,Vikings,"$1,800,000","$1,800,000","$1,375,000"
Maurice Hurst,IDL,Browns,"$1,800,000","$1,800,000","$1,000,000"
Jayden Reed,WR,Packers,"$7,180,778","$1,795,195","$4,048,783"
Jihad Ward,EDGE,Vikings,"$1,790,000","$1,790,000","$1,000,000"
Troy Dye,LB,Chargers,"$1,790,000","$1,790,000","$665,000"
Poona Ford,IDL,Chargers,"$1,790,000","$1,790,000","$665,000"
Benito Jones,IDL,Dolphins,"$1,790,000","$1,790,000","$1,790,000"
Trent Sherfield,WR,Vikings,"$1,790,000","$1,790,000","$1,000,000"
Josh Jones,LT,Ravens,"$1,790,000","$1,790,000","$665,000"
Aaron Banks,LG,49ers,"$7,073,608","$1,768,402","$4,145,968"
Michael Hall Jr.,IDL,Browns,"$7,069,828","$1,767,457","$4,379,410"
Kentavius Street,EDGE,Falcons,"$1,765,000","$1,765,000","$300,000"
Cam Smith,CB,Dolphins,"$7,028,432","$1,757,108","$3,931,062"
Adoree' Jackson,CB,Giants,"$1,750,000","$1,750,000",$0
Khyiris Tonga,IDL,Cardinals,"$1,750,000","$1,750,000","$400,000"
Eric Murray,S,Texans,"$1,750,000","$1,750,000","$425,000"
Trystan Colon,C,Cardinals,"$1,750,000","$1,750,000","$450,000"
Riley Dixon,P,Broncos,"$3,500,000","$1,750,000","$1,000,000"
Jeff Wilson,RB,Dolphins,"$1,750,000","$1,750,000","$400,000"
Rondale Moore,WR,Falcons,"$6,924,254","$1,731,064","$4,030,559"
Patrick Paul,LT,Dolphins,"$6,911,696","$1,727,924","$4,163,624"
Cameron Jurgens,C,Eagles,"$6,903,024","$1,725,756","$3,924,154"
Zach Charbonnet,RB,Seahawks,"$6,876,078","$1,719,020","$3,813,333"
Marshawn Kneeland,EDGE,Cowboys,"$6,832,646","$1,708,162","$4,011,379"
Kris Boyd,CB,Texans,"$1,700,000","$1,700,000","$325,000"
Justin Watson,WR,Chiefs,"$3,400,000","$1,700,000","$1,300,000"
Chris Braswell,EDGE,Buccaneers,"$6,785,196","$1,696,299","$3,885,353"
Azeez Ojulari,EDGE,Giants,"$6,774,914","$1,693,729","$3,915,159"
George Pickens,WR,Steelers,"$6,752,188","$1,688,047","$3,867,506"
Gervon Dexter,IDL,Bears,"$6,723,732","$1,680,933","$3,695,612"
Javon Bullard,S,Packers,"$6,706,132","$1,676,533","$3,735,287"
Blake Hance,LG,Jaguars,"$1,657,080","$1,657,080",$0
Alec Pierce,WR,Colts,"$6,601,342","$1,650,336","$3,691,037"
Mario Edwards Jr.,IDL,Texans,"$1,650,000","$1,650,000","$500,000"
Khalil Davis,IDL,49ers,"$1,650,000","$1,650,000","$350,000"
Blake Fisher,RT,Texans,"$6,595,438","$1,648,860","$3,562,252"
Tuli Tuipulotu,EDGE,Chargers,"$6,571,382","$1,642,846","$3,577,887"
Cole Bishop,S,Bills,"$6,547,996","$1,636,999","$1,582,180"
Rashee Rice,WR,Chiefs,"$6,495,218","$1,623,805","$3,519,033"
Ennis Rakestraw,CB,Lions,"$6,484,746","$1,621,187","$3,420,941"
Luke Rhodes,LS,Colts,"$6,465,000","$1,616,250","$2,500,000"
Skyy Moore,WR,Chiefs,"$6,450,506","$1,612,627","$3,574,481"
Tyrique Stevenson,CB,Bears,"$6,449,502","$1,612,376","$3,483,707"
J.K. Dobbins,RB,Chargers,"$1,610,000","$1,610,000","$50,000"
Roger Rosengarten,RT,Ravens,"$6,437,314","$1,609,329","$3,384,289"
Kingsley Suamataia,LT,Chiefs,"$6,421,506","$1,605,377","$3,372,071"
Renardo Green,CB,49ers,"$6,389,874","$1,597,469","$3,347,629"
John Michael Schmitz,C,Giants,"$6,373,334","$1,593,334","$3,424,849"
Dillon Radunz,RT,Titans,"$6,326,874","$1,581,719","$3,568,949"
Zach Wood,LS,Saints,"$6,310,000","$1,577,500","$2,300,000"
Joe Cardona,LS,Patriots,"$6,300,000","$1,575,000","$2,600,000"
Trey McBride,TE,Cardinals,"$6,299,660","$1,574,915","$3,457,900"
Luke Schoonmaker,TE,Cowboys,"$6,266,678","$1,566,670","$3,342,433"
Sam Williams,EDGE,Cowboys,"$6,224,254","$1,556,064","$3,399,649"
O'Cyrus Torrence,RG,Bills,"$6,220,980","$1,555,245","$3,307,120"
Chris Conley,WR,49ers,"$1,550,000","$1,550,000","$460,000"
Nick Moore,LS,Ravens,"$1,550,000","$1,550,000","$450,000"
Cameron Lewis,CB,Bills,"$3,100,000","$1,550,000","$1,125,000"
Luke Goedeke,LG,Buccaneers,"$6,178,986","$1,544,747","$3,364,671"
Dayo Odeyingbo,EDGE,Colts,"$6,177,530","$1,544,383","$3,453,545"
D.J. Turner,CB,Bengals,"$6,160,040","$1,540,010","$3,260,030"
Brenton Strange,TE,Jaguars,"$6,114,342","$1,528,586","$3,224,717"
Troy Andersen,LB,Falcons,"$6,103,574","$1,525,894","$3,306,399"
Juice Scruggs,C,Texans,"$6,099,108","$1,524,777","$3,212,948"
Malachi Corley,WR,Jets,"$6,073,456","$1,518,364","$1,237,060"
Marvin Mims,WR,Broncos,"$6,068,634","$1,517,159","$3,189,399"
Trey Benson,RB,Cardinals,"$6,059,606","$1,514,902","$1,226,984"
Brandon Coleman,LT,Commanders,"$6,058,224","$1,514,556","$1,225,980"
Caedan Wallace,LT,Patriots,"$6,043,304","$1,510,826","$1,215,128"
Trenton Scott,RT,Commanders,"$3,020,000","$1,510,000","$655,000"
Junior Colson,LB,Chargers,"$6,027,006","$1,506,752","$1,203,276"
Elijah Campbell,S,Dolphins,"$1,505,000","$1,505,000","$355,000"
Samaje Perine,RB,Chiefs,"$1,500,000","$1,500,000","$290,000"
Dare Ogunbowale,RB,Texans,"$1,500,000","$1,500,000","$175,000"
Chase Edmonds,RB,Buccaneers,"$1,500,000","$1,500,000","$1,000,000"
Tavierre Thomas,CB,Buccaneers,"$1,500,000","$1,500,000","$750,000"
Devin Bush,LB,Browns,"$1,500,000","$1,500,000","$500,000"
K'Von Wallace,S,Seahawks,"$1,500,000","$1,500,000","$205,000"
Ed Ingram,RG,Vikings,"$5,997,974","$1,499,494","$3,224,799"
Andru Phillips,CB,Giants,"$5,995,942","$1,498,986","$1,180,684"
Nyheim Hines,RB,Browns,"$1,495,000","$1,495,000","$850,000"
Isaiah Adams,LG,Cardinals,"$5,974,778","$1,493,695","$1,165,292"
Thomas Hennessy,LS,Jets,"$5,970,000","$1,492,500","$1,955,000"
Trevin Wallace,LB,Panthers,"$5,959,836","$1,489,959","$1,154,424"
Cam Taylor-Britt,CB,Bengals,"$5,952,730","$1,488,183","$3,189,835"
Cooper Beebe,C,Cowboys,"$5,939,718","$1,484,930","$1,139,796"
Bralen Trice,EDGE,Falcons,"$5,929,734","$1,482,434","$1,132,536"
Kiran Amegadjie,LT,Bears,"$5,914,322","$1,478,581","$1,121,324"
Tutu Atwell,WR,Rams,"$5,908,698","$1,477,175","$3,245,813"
Drake Jackson,EDGE,49ers,"$5,892,392","$1,473,098","$3,143,212"
Jonah Elliss,EDGE,Broncos,"$5,870,714","$1,467,679","$1,089,608"
Delmar Glaze,RT,Raiders,"$5,865,790","$1,466,448","$1,086,028"
Calen Bullock,S,Texans,"$5,856,998","$1,464,250","$1,079,636"
Tyler Ott,LS,Commanders,"$4,390,000","$1,463,333","$1,610,000"
Bryan Cook,S,Chiefs,"$5,847,142","$1,461,786","$3,108,247"
Fabian Moreau,CB,Vikings,"$1,460,000","$1,460,000","$475,000"
Matt Goncalves,LT,Colts,"$5,839,038","$1,459,760","$1,066,572"
Nick Bolton,LB,Chiefs,"$5,834,040","$1,458,510","$3,188,120"
James Cook,RB,Bills,"$5,832,064","$1,458,016","$3,096,594"
Jermaine Burton,WR,Bengals,"$5,820,896","$1,455,224","$1,053,380"
Christian Haynes,RG,Seahawks,"$5,802,760","$1,450,690","$1,040,188"
Nik Bonitto,EDGE,Broncos,"$5,801,888","$1,450,472","$3,073,278"
Jon Rhattigan,LB,Panthers,"$2,900,000","$1,450,000","$1,500,000"
JaMycal Hasty,RB,Patriots,"$2,900,000","$1,450,000","$300,000"
Tip Reiman,TE,Cardinals,"$5,789,912","$1,447,478","$1,030,844"
Zacch Pickens,IDL,Bears,"$5,763,784","$1,440,946","$1,191,844"
Blake Corum,RB,Rams,"$5,763,762","$1,440,941","$1,011,828"
Tyler Steen,RT,Eagles,"$5,750,440","$1,437,610","$1,182,136"
Sydney Brown,S,Eagles,"$5,749,106","$1,437,277","$1,181,168"
Roman Wilson,WR,Steelers,"$5,745,168","$1,436,292","$998,304"
Zak Zinter,LG,Browns,"$5,734,740","$1,433,685","$990,720"
Drew Sanders,LB,Broncos,"$5,734,732","$1,433,683","$1,170,712"
Hendon Hooker,QB,Lions,"$5,719,028","$1,429,757","$1,159,292"
Charley Hughlett,LS,Browns,"$5,715,555","$1,428,889","$1,952,027"
Dominick Puni,RG,49ers,"$5,700,548","$1,425,137","$965,852"
Kenny Yeboah,TE,Jets,"$1,425,000","$1,425,000","$225,000"
Marist Liufau,LB,Cowboys,"$5,691,514","$1,422,879","$959,284"
Tank Dell,WR,Texans,"$5,689,104","$1,422,276","$1,137,528"
MarShawn Lloyd,RB,Packers,"$5,688,518","$1,422,130","$957,104"
Tykee Smith,S,Buccaneers,"$5,687,018","$1,421,755","$956,012"
Elijah Jones,CB,Cardinals,"$5,685,518","$1,421,380","$954,920"
Ty'Ron Hopper,LB,Packers,"$5,678,024","$1,419,506","$949,472"
Byron Young,IDL,Eagles,"$5,668,710","$1,417,178","$1,122,696"
Jalen McMillan,WR,Buccaneers,"$5,663,024","$1,415,756","$938,564"
Kendre Miller,RB,Saints,"$5,654,312","$1,413,578","$1,112,228"
Adisa Isaac,EDGE,Ravens,"$5,648,034","$1,412,009","$927,660"
Garrett Williams,CB,Cardinals,"$5,634,930","$1,408,733","$1,098,132"
Jalyx Hunt,EDGE,Eagles,"$5,633,034","$1,408,259","$916,752"
Jalin Hyatt,WR,Giants,"$5,625,316","$1,406,329","$1,091,140"
DeWayne Carter,IDL,Bills,"$5,618,048","$1,404,512","$905,852"
Cedric Tillman,WR,Browns,"$5,610,462","$1,402,616","$1,080,336"
Josh Harris,LS,Chargers,"$5,600,000","$1,400,000","$1,920,000"
Christian Rozeboom,LB,Rams,"$1,400,000","$1,400,000","$1,400,000"
Khalil Dorsey,CB,Lions,"$1,400,000","$1,400,000",$0
Luke McCaffrey,WR,Commanders,"$5,596,312","$1,399,078","$890,044"
Jarrian Jones,CB,Jaguars,"$5,596,312","$1,399,078","$890,044"
Payton Wilson,LB,Steelers,"$5,596,312","$1,399,078","$890,044"
Kamren Kinchens,S,Rams,"$5,596,312","$1,399,078","$890,044"
McKinnley Jackson,IDL,Bengals,"$5,596,312","$1,399,078","$890,044"
Austin Schlottmann,C,Giants,"$2,795,000","$1,397,500","$500,000"
Josh Myers,C,Packers,"$5,580,142","$1,395,036","$2,991,927"
Zach Harrison,EDGE,Falcons,"$5,568,446","$1,392,112","$1,049,780"
Marte Mapu,LB,Patriots,"$5,563,708","$1,390,927","$1,046,332"
Byron Young,EDGE,Rams,"$5,555,238","$1,388,810","$1,040,172"
Tucker Kraft,TE,Packers,"$5,537,932","$1,384,483","$1,027,588"
Kyle Trask,QB,Buccaneers,"$5,535,336","$1,383,834","$2,957,306"
Josh Downs,WR,Colts,"$5,520,456","$1,380,114","$1,014,876"
Casey Kreiter,LS,Giants,"$1,377,500","$1,377,500","$1,152,500"
C.J. Goodwin,CB,Cowboys,"$1,377,500","$1,377,500","$167,500"
Jon Weeks,LS,Texans,"$1,377,500","$1,377,500","$167,500"
J.J. Jansen,LS,Panthers,"$1,377,500","$1,377,500","$1,152,500"
Aaron Brewer,LS,Cardinals,"$1,377,500","$1,377,500","$83,750"
Patrick Scales,LS,Bears,"$1,377,500","$1,377,500","$1,152,500"
Marcus Maye,S,Chargers,"$1,377,500","$1,377,500","$567,500"
Lucas Patrick,LG,Saints,"$1,377,500","$1,377,500","$404,000"
Kamu Grugier-Hill,LB,Vikings,"$1,377,500","$1,377,500","$142,500"
Anthony Walker Jr.,LB,Dolphins,"$1,377,500","$1,377,500","$917,500"
Morgan Cox,LS,Titans,"$1,377,500","$1,377,500","$1,152,500"
Brent Urban,IDL,Ravens,"$1,377,500","$1,377,500","$25,000"
Chris Manhertz,TE,Giants,"$1,377,500","$1,377,500","$117,500"
James Winchester,LS,Chiefs,"$1,377,500","$1,377,500","$1,152,500"
Antonio Hamilton,CB,Falcons,"$1,377,500","$1,377,500","$1,152,500"
John Johnson,S,Rams,"$1,377,500","$1,377,500","$750,000"
Rodney McLeod,S,Browns,"$1,377,500","$1,377,500","$767,500"
Eric Wilson,LB,Packers,"$1,377,500","$1,377,500","$167,500"
Mike Pennel,IDL,Chiefs,"$1,377,500","$1,377,500","$383,400"
William Gholston,IDL,Buccaneers,"$1,377,500","$1,377,500","$985,000"
Josh Johnson,QB,Ravens,"$1,377,500","$1,377,500","$1,152,500"
D.J. Johnson,EDGE,Panthers,"$5,502,988","$1,375,747","$1,002,172"
Luke Fortner,C,Jaguars,"$5,500,062","$1,375,016","$1,180,044"
Iosua Opeta,LG,Buccaneers,"$1,375,000","$1,375,000","$650,000"
Tyjae Spears,RB,Titans,"$5,490,602","$1,372,651","$993,164"
Brian Asamoah,LB,Vikings,"$5,486,844","$1,371,711","$1,170,432"
Joshua Ezeudu,LT,Giants,"$5,485,524","$1,371,381","$1,169,472"
Quinton Jefferson,IDL,Bills,"$1,370,000","$1,370,000",$0
Martin Emerson,CB,Browns,"$5,471,290","$1,367,823","$1,159,120"
YaYa Diaby,EDGE,Buccaneers,"$5,465,412","$1,366,353","$974,844"
Nicholas Petit-Frere,RT,Titans,"$5,455,740","$1,363,935","$1,147,812"
Riley Moss,CB,Broncos,"$5,447,490","$1,361,873","$961,812"
Devon Achane,RB,Dolphins,"$5,437,450","$1,359,363","$954,508"
Chad Muma,LB,Jaguars,"$5,426,116","$1,356,529","$1,126,264"
Daiyan Henley,LB,Chargers,"$5,420,426","$1,355,107","$942,128"
Trenton Simpson,LB,Ravens,"$5,404,502","$1,351,126","$930,548"
Caleb Johnson,LB,Jaguars,"$1,350,000","$1,350,000","$450,000"
Cody Ford,LG,Bengals,"$1,350,000","$1,350,000","$175,000"
Ji'Ayir Brown,S,49ers,"$5,395,804","$1,348,951","$924,220"
Tank Bigsby,RB,Jaguars,"$5,392,918","$1,348,230","$922,120"
Abraham Lucas,RT,Seahawks,"$5,391,672","$1,347,918","$1,101,216"
Kobie Turner,IDL,Rams,"$5,391,470","$1,347,868","$921,068"
DeMarvion Overshown,LB,Cowboys,"$5,390,022","$1,347,506","$920,016"
Dorian Williams,LB,Bills,"$5,382,806","$1,345,702","$914,768"
Jelani Woods,TE,Colts,"$5,372,484","$1,343,121","$1,087,260"
Wanya Morris,LT,Chiefs,"$5,368,352","$1,342,088","$904,256"
Andrew DePaola,LS,Vikings,"$4,025,000","$1,341,666","$1,515,000"
Darnell Washington,TE,Steelers,"$5,353,912","$1,338,478","$893,752"
Christian Harris,LB,Texans,"$5,348,258","$1,337,065","$1,069,640"
Michael Wilson,WR,Cardinals,"$5,339,462","$1,334,866","$883,244"
Jordan Battle,S,Bengals,"$5,325,016","$1,331,254","$872,740"
Sterling Shepard,WR,Buccaneers,"$1,327,500","$1,327,500",$0
Travis Jones,IDL,Ravens,"$5,306,660","$1,326,665","$1,039,388"
Mekhi Blackmon,CB,Vikings,"$5,304,082","$1,326,021","$857,512"
Jake Moody,K,49ers,"$5,304,082","$1,326,021","$857,512"
Tre Tucker,WR,Raiders,"$5,304,082","$1,326,021","$857,512"
Brodric Martin,IDL,Lions,"$5,304,082","$1,326,021","$857,512"
Bernhard Raimann,LT,Colts,"$5,301,960","$1,325,490","$1,035,972"
Steven Sims,WR,Ravens,"$1,325,000","$1,325,000","$75,000"
Alex Wright,EDGE,Browns,"$5,293,574","$1,323,394","$1,029,872"
Taybor Pepper,LS,49ers,"$3,960,000","$1,320,000","$1,500,000"
Greg Dulcich,TE,Giants,"$5,259,140","$1,314,785","$1,004,828"
Cordale Flott,CB,Giants,"$5,241,844","$1,310,461","$992,248"
C.J. Beathard,QB,Jaguars,"$1,310,000","$1,310,000","$100,000"
Andre Cisco,S,Jaguars,"$5,236,498","$1,309,125","$1,168,360"
DeAngelo Malone,EDGE,Falcons,"$5,229,582","$1,307,396","$983,332"
Justin Strnad,LB,Broncos,"$1,305,000","$1,305,000","$750,000"
Nakobe Dean,LB,Eagles,"$5,204,642","$1,301,161","$965,192"
Ian Thomas,TE,Panthers,"$1,300,000","$1,300,000","$1,300,000"
Jerry Hughes,EDGE,Texans,"$2,600,000","$1,300,000","$1,300,000"
Joseph Ossai,EDGE,Bengals,"$5,192,616","$1,298,154","$1,136,448"
DeMarvin Leal,IDL,Steelers,"$5,186,896","$1,296,724","$952,288"
Marcus Jones,CB,Patriots,"$5,176,952","$1,294,238","$945,056"
Michael Dunn,LG,Browns,"$1,292,500","$1,292,500","$1,152,500"
KhaDarel Hodge,WR,Falcons,"$1,292,500","$1,292,500","$167,500"
Storm Norton,RT,Falcons,"$1,292,500","$1,292,500","$550,000"
Cam Brown,LB,Dolphins,"$1,292,500","$1,292,500","$203,750"
Tanner Hudson,TE,Bengals,"$1,292,500","$1,292,500","$167,500"
Trent Sieg,LS,Cowboys,"$1,292,500","$1,292,500","$1,152,500"
Ty Johnson,RB,Bills,"$1,292,500","$1,292,500","$667,500"
Da'Shawn Hand,EDGE,Dolphins,"$1,292,500","$1,292,500","$167,500"
James Smith-Williams,EDGE,Falcons,"$1,292,500","$1,292,500","$167,500"
Jaylinn Hawkins,S,Patriots,"$1,292,500","$1,292,500","$417,500"
L.J. Collier,EDGE,Cardinals,"$1,292,500","$1,292,500","$25,000"
River Cracraft,WR,Dolphins,"$1,292,500","$1,292,500",$0
Matthew Adams,LB,Giants,"$1,292,500","$1,292,500","$967,500"
Deonte Harty,WR,Ravens,"$1,292,500","$1,292,500","$1,152,500"
Olamide Zaccheaus,WR,Commanders,"$1,292,500","$1,292,500","$380,000"
