Player,Position,Team,Total Value,Average Per Year,Total Guaranteed
Sheldon Rankins,IDL,Bengals,"$24,500,000","$12,250,000","$8,000,000"
Alvin Kamara,RB,Saints,"$24,500,000","$12,250,000","$19,233,333"
Pat Freiermuth,TE,Steelers,"$48,400,000","$12,100,000","$11,600,000"
Jalen Thompson,S,Cardinals,"$36,000,000","$12,000,000","$20,000,000"
Josh Jacobs,RB,Packers,"$48,000,000","$12,000,000","$12,500,000"
Dalton Schultz,TE,Texans,"$36,000,000","$12,000,000","$23,500,000"
Erik McCoy,C,Saints,"$60,000,000","$12,000,000","$20,090,000"
Chidobe Awuzie,CB,Titans,"$36,000,000","$12,000,000","$19,000,000"
Austin Jackson,RT,Dolphins,"$36,000,000","$12,000,000","$13,066,124"
Grant Delpit,S,Browns,"$36,000,000","$12,000,000","$14,909,558"
Shaquille Mason,RG,Texans,"$35,000,000","$11,666,667","$22,000,000"
David Onyemata,IDL,Falcons,"$35,000,000","$11,666,667","$24,500,000"
Rob Havenstein,RT,Rams,"$34,500,000","$11,500,000","$13,176,471"
Za'Darius Smith,EDGE,Lions,"$23,000,000","$11,500,000","$12,000,000"
Davon Hamilton,IDL,Jaguars,"$34,500,000","$11,500,000","$20,000,000"
Maliek Collins,IDL,49ers,"$23,000,000","$11,500,000","$18,500,000"
Kaleb McGary,RT,Falcons,"$34,500,000","$11,500,000","$15,000,000"
Azeez Al-Shaair,LB,Texans,"$34,000,000","$11,333,333","$21,500,000"
Matt Judon,EDGE,Falcons,"$22,500,000","$11,250,000","$14,000,000"
D.J. Reed,CB,Jets,"$33,000,000","$11,000,000","$18,000,000"
Dorance Armstrong Jr.,EDGE,Commanders,"$33,000,000","$11,000,000","$16,125,000"
Julian Love,S,Seahawks,"$33,000,000","$11,000,000","$11,965,000"
Cesar Ruiz,RG,Saints,"$44,000,000","$11,000,000","$18,188,981"
Jakobi Meyers,WR,Raiders,"$33,000,000","$11,000,000","$16,000,000"
Allen Lazard,WR,Jets,"$44,000,000","$11,000,000","$22,000,000"
D.J. Reader,IDL,Lions,"$22,000,000","$11,000,000","$7,425,000"
Justin Reid,S,Chiefs,"$31,500,000","$10,500,000","$20,485,000"
Noah Fant,TE,Seahawks,"$21,000,000","$10,500,000","$11,490,000"
Zaire Franklin,LB,Colts,"$31,260,000","$10,420,000","$17,620,000"
Frankie Luvu,EDGE,Commanders,"$31,000,000","$10,333,333","$14,625,000"
Taron Johnson,CB,Bills,"$30,750,000","$10,250,000","$16,650,000"
Michael Carter II,CB,Jets,"$30,750,000","$10,250,000","$13,063,500"
Zach Sieler,IDL,Dolphins,"$30,750,000","$10,250,000","$17,725,000"
Justin Jones,IDL,Cardinals,"$30,165,000","$10,055,000","$17,750,000"
Tyler Biadasz,C,Commanders,"$30,000,000","$10,000,000","$17,700,000"
Bobby Okereke,LB,Giants,"$40,000,000","$10,000,000","$21,800,000"
Andrew Van Ginkel,EDGE,Vikings,"$20,000,000","$10,000,000","$10,000,000"
Josh Sweat,EDGE,Eagles,"$10,000,000","$10,000,000","$9,500,000"
Mike Williams,WR,Steelers,"$10,000,000","$10,000,000","$8,300,000"
Jadeveon Clowney,EDGE,Panthers,"$20,000,000","$10,000,000","$12,000,000"
D.J. Jones,IDL,Broncos,"$30,000,000","$10,000,000","$20,000,000"
Denico Autry,EDGE,Texans,"$20,000,000","$10,000,000","$10,500,000"
Leonard Floyd,EDGE,49ers,"$20,000,000","$10,000,000","$12,000,000"
Kenny Moore,CB,Colts,"$30,000,000","$10,000,000","$16,000,000"
"Jon Runyan, Jr.",LG,Giants,"$30,000,000","$10,000,000","$17,000,000"
Amani Hooker,S,Titans,"$30,000,000","$10,000,000","$17,150,000"
Foyesade Oluokun,LB,Jaguars,"$30,000,000","$10,000,000","$21,500,000"
